รหัสวิชา,ชื่อรายวิชา,Credit,หน่วยกิต,หมวดวิชา,คำอธิบายรายวิชาภาษาไทย,คำอธิบายรายวิชาภาษาอังกฤษ,
EN-013-323,การประมวลผลภาพ,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,สัญญาณภาพ การวิเคราะห์สัญญาณภาพ การได้มาซึ่งข้อมูลภาพ การแทนสัญญาณของภาพด้วยฟังก์ชันทางคณิตศาสตร์ การสุ่มและควอนไตช์สัญญาณภาพ การเพิ่มคุณภาพของภาพทั้งในโดเมนของขอบเขตพื้นที่ และโดเมนความถี่ การกรอง การแบ่งส่วนของภาพ การแปลความหมายภาพ การเข้ารหัสข้อมูลภาพ และการประยุกต์ใช้งาน,Image Signal; analysis image signal; image acquisition; image enhancement in the spatial domain; image enhancement in the frequency domain; image filtering; image segmentation; image representation; image coding and survey of applications
EN-013-324,คอมพิวเตอร์กราฟิก,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,ประวัติศาสตร์และภาพรวมในคอมพิวเตอร์กราฟิก ระบบคอมพิวเตอร์กราฟฟิกส่วนต่อประสานสำหรับการเขียนโปรแกรมประยุกต์กราฟิก ขั้นตอนวิธีแรสเตอร์กราฟฟิกพื้นฐาน การแปลงเรขาคณิต ทัศนะ การพิจารณากำหนดพื้นผิวที่ปรากฏการส่องแสงและการเรนเดอร์พื้นผิว องค์ประกอบพื้นฐานของความจริงเสมือน เครื่องมือสำหรับการสร้างความจริงเสมือน การออกแบบสภาพแวดล้อมเสมือนจริง การผสานเทคโนโลยีความจริงเสมือน การประยุกต์ใช้ความจริงเสมือน โครงการเกมโลกเสมือนผสานโลกจริง,History and overview in computer graphics; computer graphics systems; graphics application programming interface; basic raster graphics algorithms; geometrical transformations; viewing; visible surface determination; illumination and surface-rendering. basic elements of virtual reality; tools for creating virtual reality; designing a virtual environment; combining the technology of virtual reality; application of virtual reality; augmented reality game project
EN-013-325,คอมพิวเตอร์วิชั่น,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,การเกิดภาพ การตรวจหาลักษณะเด่น ขอบ สี ลวดลาย การตัดแยกและการแทนบริเวณส่วนภาพ การรู้จำและการจำแนกแบบรูป การวิเคราะห์ข้อมูลพลวัตของภาพวิทัศน์สามมิติ การประยุกต์คอมพิวเตอร์วิทัศน์ในงาน,Image formation; feature detection; edge; color; texture; segmentation and region representation; pattern recognition and classification; dynamic vision; 3D vision; computer vision applications
EN-013-326,การรู้จำรูปแบบ,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,ทฤษฎีความน่าจะเป็นแบบเบย์ ทฤษฎีการประมาณการ ฟังก์ชันดิสคริมิแนนต์เชิงเส้น ซัพพอร์ตเวกเตอร์แมชชีน โครงข่ายประสาท ต้นไม้ตัดสินใจ การจัดกลุ่ม,Bayesian decision theory; estimation theory; linear discrimination functions; support vector machines; neural networks; deep learning; decision trees; clustering
EN-013-327,การเรียนรู้ของเครื่อง,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,แนะนำภาพรวมของการเรียนรู้ของเครื่องและการรู้จำรูปแบบเชิงสถิติ การเรียนรู้แบบมีผู้ดูแล การเรียนรู้แบบทั่วไปและการเรียนรู้แบบจำแนก การเรียนรู้แบบสัมพันธ์และไม่สัมพันธ์กับตัวแปร เครือข่ายนิวรัล ซัพพอร์ตเวกเตอร์แมชชีน การเรียนรู้แบบไม่มีผู้ดูแล การจัดกลุ่ม การลดมิติ ระบบให้คำแนะนำ การเรียนรู้แบบลึกทฤษฎีการเรียนรู้ การเรียนรู้แบบมีแรงเสริม และการควบคุมการปรับตัว,Introduction to machine learning and statistical pattern recognition; supervised learning generative/discriminative learning; parametric/non-parametric learning; neural networks; support vector machines; unsupervised learning clustering; dimensionality reduction; recommender systems; deep learning; learning theory (bias/variance tradeoffs; VC theory; large margins); reinforcement learning and adaptive control.
EN-013-328,การประยุกต์ใช้ปัญญาประดิษฐ์,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,นิยามปัญญาประดิษฐ์ การแก้ปัญหาโดนการค้น การแทนความรู้ การประมวลผลภาษาธรรมชาติ การเรียนรู้เครื่องจักร โครงข่ายประสาทเทียม การประยุกต์ใช้กับการตรวจจับวัตถุและพื้นที่สำหรับคอมพิวเตอร์วิทัศน์ และ การรู้จำเสียง,Definition of artificial intelligence problem solving by search; knowledge representation; natural language processing; machine learning; artificial neural networks; application of object detection and segmentation in computer vision and speech recognition
EN-013-329,หัวข้อพิเศษทางด้านข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,การบรรยายและปฏิบัติการในหัวข้อปัจจุบันที่น่าสนใจในด้านข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,Lectures and discussions on current topics of interest in big data and artificial intelligence
EN-013-330,การเรียนรู้ภาคปฏิบัติด้านข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,3,3(0-40-0),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,การเรียนรู้ภาคปฏิบัติด้านข้อมูลขนาดใหญ่และปัญญาประดิษฐ์ในสถานประกอบการโดยให้มีความรู้ หลักการและแนวคิดเกี่ยวกับวิศวกรรมคอมพิวเตอร์,Work-Based Learning in big data and artificial intelligence in the workplaces for having knowledge; principles and concepts about computer engineering
EN-013-331,การพัฒนาแอปพลิเคชันบนอุปกรณ์เคลื่อนที่,3,3(2-3-6),วิชาชีพเลือก,กลุ่มวิชาการพัฒนาซอฟต์แวร์,ศึกษาพื้นฐานของระบบประมวลผลบนอุปกรณ์พกพาหรือเคลื่อนที่ มาตรฐานระบบเครือข่ายไร้สายแบบต่างๆ ระบบปฏิบัติการบนอุปกรณ์เคลื่อนที่ การสร้างอินเตอร์เฟสสำหรับรับข้อมูลและ แสดงผลต่อผู้ใช้งานหลักทั่วไป และการเขียนโปรแกรมสำหรับอุปกรณ์เคลื่อนที่,A study of basic computation on mobile; standard Wireless networking and operating system on mobile devices; development user interface input/output; handle user interactive on touch screen and gesture; programming for mobile
EN-013-332,ระบบภูมิศาสตร์สารสนเทศ,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาการพัฒนาซอฟต์แวร์,แนวคิดและเทคโนโลยีของระบบสารสนเทศเชิงภูมิศาสตร์ โดยศึกษาแหล่งข้อมูลทางอวกาศ แบบจำลอง และโครงสร้างข้อมูลทางอวกาศ การบริการฐานข้อมูลทางอวกาศ ระบบนำเสนอแผนที่ การใช้รหัสเชิงภูมิศาสตร์ และการอ้างอิงทางภูมิศาสตร์ การวิเคราะห์ทางอวกาศ การดูข้อมูลแผนที่ภาพถ่าย การใช้แอพลิเคชันของระบบสารสนเทศเชิงภูมิศาสตร์ เช่น การหาตำแหน่ง การนำทาง การหาเส้นทางและศึกษาซอฟต์แวร์ระบบสารสนเทศเชิงภูมิศาสตร์ที่ใช้ในเชิงพาณิชย์,"Introduction to geographic information system (GIS) concept and technology including spatial data sources; spatial data models and structures; spatial database management; map projection systems; geocoding and georeferencing; spatial analysis; spatial data visualization (maps); GIS applications (e.g., address-location finding, navigation, routing), and commercial GIS software packages"
